participant_id,age,gender_participant,country,province,education,headphone_brand,stimuli,score,stimuli_group,stimuli_service,gender_stimuli,dialect
4kkajwqbxbr4zfc0eys6a3,53,M,AR,Ciudad Aut�noma de Buenos Aires,4,Sony WH-1000XM5,E/E2/arf_00610_01983307905.wav,4.0,E2,open_srl_es_ar_female_2,F,ARG
ztwx6tnel7ogegc0h9hjqr,27,F,AR,Buenos Aires,2,Philips ,E/E2/arf_00610_00267144431.wav,4.0,E2,open_srl_es_ar_female_2,F,ARG
ztwx6tnel7ogegc0h9hjqr,27,F,AR,Buenos Aires,2,Philips ,E/E2/arf_00610_01519113277.wav,4.0,E2,open_srl_es_ar_female_2,F,ARG
wqc6g1y755ulfhnkoksei,33,M,AR,Buenos Aires,3,Shure 48,E/E2/arf_00610_02031088808.wav,4.0,E2,open_srl_es_ar_female_2,F,ARG
qutvhu57mnvi6fizy1t3,22,2,F,CO,,1,test,E/E2/arf_00610_00848604729.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG
c6o6iafmvykjd72hc517n,26,F,AR,Ciudad Aut�noma de Buenos Aires,4,Sony WH-1000XM4,E/E2/arf_00610_00627937971.wav,3.0,E2,open_srl_es_ar_female_2,F,ARG
iboag27p95cimh20dsteol,26,M,AR,Buenos Aires,5,,E/E2/arf_00610_01414016169.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG
7nx1cmjz8nin1rn9la865,26,M,AR,Buenos Aires,5,Samsung,E/E2/arf_00610_01060090779.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG
ee4i8isvlpyncgz1odqs,27,F,AR,Ciudad Aut�noma de Buenos Aires,2,sennheiser,E/E2/arf_00610_00174284275.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG
qs8j8yj1w5ilprwml3zr,27,M,AR,Ciudad Aut�noma de Buenos Aires,4,redragon,E/E2/arf_00610_01819305460.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG
k4yipc557y1uklyxj98p4,26,M,AR,Buenos Aires,5,samsung in ear ale,E/E2/arf_00610_01139982755.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG
k4yipc557y1uklyxj98p4,26,M,AR,Buenos Aires,5,samsung in ear ale,E/E2/arf_00610_00705234264.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG
206p58uyu9nk2vq5pzue1,27,M,AR,Ciudad Aut�noma de Buenos Aires,3,dt 880 pro,E/E2/arf_00610_00348141774.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG
r8o2ms5swtmufwnw27wiah,36,M,AR,Ciudad Aut�noma de Buenos Aires,2,Shure SE215,E/E2/arf_00610_01509182660.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG
r8o2ms5swtmufwnw27wiah,36,M,AR,Ciudad Aut�noma de Buenos Aires,2,Shure SE215,E/E2/arf_00610_00513915303.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG
iwaqiwf7086hwu3jlrcvh,20,M,AR,Buenos Aires,3,,E/E2/arf_00610_00727257612.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG
iwaqiwf7086hwu3jlrcvh,20,M,AR,Buenos Aires,3,,E/E2/arf_00610_00503334717.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG
cygru7b0m97zh2lg5og05,26,M,AR,Buenos Aires,3,Logitech G433,E/E2/arf_00610_00439871316.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG
gjuhi5xh19bytuxd7u4j,26,M,ES,,3,JVC,E/E2/arf_00610_01304196005.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG
73syy4aj18k6olr11ypxl,27,M,AR,Buenos Aires,4,audio technica athm50x,E/E2/arf_00610_02055158675.wav,4.0,E2,open_srl_es_ar_female_2,F,ARG
73syy4aj18k6olr11ypxl,27,M,AR,Buenos Aires,4,audio technica athm50x,E/E2/arf_00610_00111995270.wav,4.0,E2,open_srl_es_ar_female_2,F,ARG
27o0tqrm38o6wjtgaiqzy7,29,M,AR,Ciudad Aut�noma de Buenos Aires,2,Sennheiser HD206,E/E2/arf_00610_01085113738.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG
27o0tqrm38o6wjtgaiqzy7,29,M,AR,Ciudad Aut�noma de Buenos Aires,2,Sennheiser HD206,E/E2/arf_00610_00658675561.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG
eflnh6b2i1rrh5nbeihqq,26,M,AR,Buenos Aires,5,Parlante de la compu,E/E2/arf_00610_02090134287.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG
puzr5n1dz0hnteu0g8wdrr,26,M,AR,Ciudad Aut�noma de Buenos Aires,2,Sennheiser 202,E/E2/arf_00610_01250551227.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG
puzr5n1dz0hnteu0g8wdrr,26,M,AR,Ciudad Aut�noma de Buenos Aires,2,Sennheiser 202,E/E2/arf_00610_00291574942.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG
ysobwzccpice783avao5c,30,M,AR,Chubut,4,Audio-Technica M50X,E/E2/arf_00610_01137989518.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG
ysobwzccpice783avao5c,30,M,AR,Chubut,4,Audio-Technica M50X,E/E2/arf_00610_01397696990.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG
ysobwzccpice783avao5c,30,M,AR,Chubut,4,Audio-Technica M50X,E/E2/arf_00610_00466371077.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG
e2q2qom6xvfgo3wyh5kqy9,30,M,AR,Ciudad Aut�noma de Buenos Aires,1,Motorola Pulse Max,E/E2/arf_00610_00802119191.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG
la9i1e7oumst6k8lv30b,26,M,AR,Buenos Aires,5,Senheisser,E/E2/arf_00610_01305852941.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG
jrttbqgqqienzwrc3qcif,29,M,AR,Ciudad Aut�noma de Buenos Aires,2,Beyerdynamic DT 990 pro,E/E2/arf_00610_01210670029.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG
vks4a5zeivbfimepmxbxq,25,M,AR,Buenos Aires,5,Logitech 433,E/E2/arf_00610_01778919962.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG
8hawot9erl511ryvmug1d,28,M,AR,Buenos Aires,2,JABRA EVOLVE 20 MS,E/E2/arf_00610_01995628280.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG
8hawot9erl511ryvmug1d,28,M,AR,Buenos Aires,2,JABRA EVOLVE 20 MS,E/E2/arf_00610_02010317333.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG
3u64elxh3bm4hoeutjzcgg,26,M,AR,Jujuy,5,Audio-Technica ATH-ANC700BT,E/E2/arf_00610_02027569323.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG
3u64elxh3bm4hoeutjzcgg,26,M,AR,Jujuy,5,Audio-Technica ATH-ANC700BT,E/E2/arf_00610_00141514478.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG
3u64elxh3bm4hoeutjzcgg,26,M,AR,Jujuy,5,Audio-Technica ATH-ANC700BT,E/E2/arf_00610_01910336600.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG
r5oyw6bphipfrusmxjmul8,30,M,AR,Buenos Aires,4,Redragon H510,E/E2/arf_00610_00682168691.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG
r5oyw6bphipfrusmxjmul8,30,M,AR,Buenos Aires,4,Redragon H510,E/E2/arf_00610_00844296271.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG
cirn7eog41vg0o0yloylkb,38,M,AR,Ciudad Aut�noma de Buenos Aires,3,behringer,E/E2/arf_00610_00597993062.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG
c7sw3mgoqk8joc7ltgswmq,37,M,AR,Buenos Aires,1,Sony,E/E2/arf_00610_01710405877.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG
kufwhzb3v0da7ognamj9lj,29,F,AR,Ciudad Aut�noma de Buenos Aires,3,Airpods Pro 3era generaci�n,E/E2/arf_00610_01025021675.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG
l61ianl0xcl23xyrqw1c5g,28,M,AR,Ciudad Aut�noma de Buenos Aires,2,,E/E2/arf_00610_01178164963.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG
27v7gfob3bcutmzb232i,27,X,AR,Buenos Aires,4,Samsung IA500,E/E2/arf_00610_01148869955.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG
8vv9ehdydhtteajhc5i3gs,27,M,AR,Ciudad Aut�noma de Buenos Aires,5,,E/E2/arf_00610_01120034916.wav,4.0,E2,open_srl_es_ar_female_2,F,ARG
1fgxubpy0xwiv2pej4vr2b9,27,M,AR,Ciudad Aut�noma de Buenos Aires,5,,E/E2/arf_00610_01572040261.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG
1fgxubpy0xwiv2pej4vr2b9,27,M,AR,Ciudad Aut�noma de Buenos Aires,5,,E/E2/arf_00610_00041110106.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG
9p8073vpokhypph8y2w3np,51,M,AR,Buenos Aires,3,,E/E2/arf_00610_02061014692.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG
9p8073vpokhypph8y2w3np,51,M,AR,Buenos Aires,3,,E/E2/arf_00610_00963427221.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG
9p8073vpokhypph8y2w3np,51,M,AR,Buenos Aires,3,,E/E2/arf_00610_01321300259.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG
i32rhoo9jorzz2cutckge,61,F,AR,Buenos Aires,1,,E/E2/arf_00610_01902807167.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG
syisq60f84n1v8n1z217m,31,F,AR,Ciudad Autónoma de Buenos Aires,2,,E/E2/arf_00610_01676863735.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG
23941hs1otfeqo20p4kqo,24,F,AR,Chaco,1,,E/E2/arf_00610_01292655949.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG
0686z3qx28ycuvnhfh47s4,29,F,AR,Tierra del Fuego,2,,E/E2/arf_00610_00379164869.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG
lg9zv08b06m9xgy94i9wzm,22,F,AR,Buenos Aires,1,,E/E2/arf_00610_01993791693.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG
lg9zv08b06m9xgy94i9wzm,22,F,AR,Buenos Aires,1,,E/E2/arf_00610_01661232902.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG
bylf76d7dao0y9d8x8mms6r,30,M,AR,Buenos Aires,1,,E/E2/arf_00610_02070030257.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG
ob703ludngf18wbc1t5jj6,52,M,AR,Río Negro,4,,E/E2/arf_00610_00721265372.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG
ob703ludngf18wbc1t5jj6,52,M,AR,Río Negro,4,,E/E2/arf_00610_01644723213.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG
ob703ludngf18wbc1t5jj6,52,M,AR,Río Negro,4,,E/E2/arf_00610_00642218901.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG
ob703ludngf18wbc1t5jj6,52,M,AR,Río Negro,4,,E/E2/arf_00610_01938161914.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG
qvh7l545jkq297g7yxn8br,24,F,AR,Buenos Aires,2,,E/E2/arf_00610_01041822557.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG
k9r8wtrwq8cdtu5kbuy3ye,26,F,AR,Ciudad Autónoma de Buenos Aires,3,,E/E2/arf_00610_02059485034.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG
k9r8wtrwq8cdtu5kbuy3ye,26,F,AR,Ciudad Autónoma de Buenos Aires,3,,E/E2/arf_00610_00975193945.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG
k9r8wtrwq8cdtu5kbuy3ye,26,F,AR,Ciudad Autónoma de Buenos Aires,3,,E/E2/arf_00610_01436794035.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG
7v8saqycz19pnkfk9ope8d,51,M,AR,Buenos Aires,2,,E/E2/arf_00610_00229307233.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG
7v8saqycz19pnkfk9ope8d,51,M,AR,Buenos Aires,2,,E/E2/arf_00610_00443461703.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG
7v8saqycz19pnkfk9ope8d,51,M,AR,Buenos Aires,2,,E/E2/arf_00610_01167197982.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG
a5k4htaq9hs34pnvl6wv,28,F,AR,Ciudad Autónoma de Buenos Aires,5,,E/E2/arf_00610_00889844761.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG
n7olijk734vnsoze5ufj,22,X,AR,Ciudad Autónoma de Buenos Aires,2,,E/E2/arf_00610_01209307596.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG
ttuv6lq5ifqyc6jpwgk94,44,F,AR,Chubut,2,,E/E2/arf_00610_01601942170.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG
1op1nsk5as4g01i0b6df4,29,F,AR,Buenos Aires,3,,E/E2/arf_00610_00794994075.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG
1op1nsk5as4g01i0b6df4,29,F,AR,Buenos Aires,3,,E/E2/arf_00610_01578523986.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG
l75lxrs7z1jpq8897r1nkd,19,M,AR,Buenos Aires,2,,E/E2/arf_00610_01093784291.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG
l75lxrs7z1jpq8897r1nkd,19,M,AR,Buenos Aires,2,,E/E2/arf_00610_00198173829.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG
k38skaq9tissznsc4sb4,25,M,AR,Buenos Aires,4,,E/E2/arf_00610_01087181303.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG
fypisyyk7pih14hbwgdny,29,M,AR,Buenos Aires,4,,E/E2/arf_00610_00220369180.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG
fypisyyk7pih14hbwgdny,29,M,AR,Buenos Aires,4,,E/E2/arf_00610_02007559797.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG
927jdmii4xcxbhn00rvjc,27,M,AR,Ciudad Autónoma de Buenos Aires,5,,E/E2/arf_00610_01853392404.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG
iautk69t1vbge89n93ao5,29,M,AR,Buenos Aires,4,,E/E2/arf_00610_01166860348.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG
iautk69t1vbge89n93ao5,29,M,AR,Buenos Aires,4,,E/E2/arf_00610_02087106852.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG
41ipc2ehbde5wrxnyq0w55,28,M,AR,Buenos Aires,4,,E/E2/arf_00610_00011690401.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG
41ipc2ehbde5wrxnyq0w55,28,M,AR,Buenos Aires,4,,E/E2/arf_00610_01353437502.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG
41ipc2ehbde5wrxnyq0w55,28,M,AR,Buenos Aires,4,,E/E2/arf_00610_00554162169.wav,4.0,E2,open_srl_es_ar_female_2,F,ARG
t0gpbakhue89ui683yiltc,26,M,AR,Ciudad Autónoma de Buenos Aires,3,,E/E2/arf_00610_00833722389.wav,5.0,E2,open_srl_es_ar_female_2,F,ARG
0om1fva4uhily4cvg6368lr,22,M,AR,,3,,C/C7/conchita2_89.wav,2.0,C7,Polly_conchita,F,CAST
0om1fva4uhily4cvg6368lr,22,M,AR,,3,,C/C7/conchita2_69.wav,2.0,C7,Polly_conchita,F,CAST
0om1fva4uhily4cvg6368lr,22,M,AR,,3,,C/C7/conchita2_56.wav,3.0,C7,Polly_conchita,F,CAST
0om1fva4uhily4cvg6368lr,22,M,AR,,3,,C/C7/conchita_46.wav,3.0,C7,Polly_conchita,F,CAST
vj735xlt2yj805wyn5rimq,59,F,AR,Buenos Aires,2,,C/C7/conchita2_65.wav,1.0,C7,Polly_conchita,F,CAST
t6ybrbbo92bx87dy9vpy,26,M,AR,Ciudad Aut�noma de Buenos Aires,3,Sennheiser HD 206,C/C7/conchita_29.wav,2.0,C7,Polly_conchita,F,CAST
bkaa9b0qt4ogrmp1inpjol,42,F,AR,Buenos Aires,4,genius b�sico,C/C7/conchita2_72.wav,1.0,C7,Polly_conchita,F,CAST
i035g56vlm5ayg6ke1amp,25,F,AR,Buenos Aires,3,Samsung,C/C7/conchita_37.wav,1.0,C7,Polly_conchita,F,CAST
4kkajwqbxbr4zfc0eys6a3,53,M,AR,Ciudad Aut�noma de Buenos Aires,4,Sony WH-1000XM5,C/C7/conchita_15.wav,2.0,C7,Polly_conchita,F,CAST
wqc6g1y755ulfhnkoksei,33,M,AR,Buenos Aires,3,Shure 48,C/C7/conchita_26.wav,2.0,C7,Polly_conchita,F,CAST
wqc6g1y755ulfhnkoksei,33,M,AR,Buenos Aires,3,Shure 48,C/C7/conchita2_99.wav,2.0,C7,Polly_conchita,F,CAST
wqc6g1y755ulfhnkoksei,33,M,AR,Buenos Aires,3,Shure 48,C/C7/conchita2_95.wav,2.0,C7,Polly_conchita,F,CAST
nlz815o2yjmlk4nbngwm2c,29,M,AR,Buenos Aires,3,Beyerdynamic dt 990 pro,C/C7/conchita_11.wav,2.0,C7,Polly_conchita,F,CAST
iboag27p95cimh20dsteol,26,M,AR,Buenos Aires,5,,C/C7/conchita2_98.wav,2.0,C7,Polly_conchita,F,CAST
iboag27p95cimh20dsteol,26,M,AR,Buenos Aires,5,,C/C7/conchita2_80.wav,3.0,C7,Polly_conchita,F,CAST
ee4i8isvlpyncgz1odqs,27,F,AR,Ciudad Aut�noma de Buenos Aires,2,sennheiser,C/C7/conchita_40.wav,1.0,C7,Polly_conchita,F,CAST
qs8j8yj1w5ilprwml3zr,27,M,AR,Ciudad Aut�noma de Buenos Aires,4,redragon,C/C7/conchita_31.wav,3.0,C7,Polly_conchita,F,CAST
k4yipc557y1uklyxj98p4,26,M,AR,Buenos Aires,5,samsung in ear ale,C/C7/conchita_16.wav,4.0,C7,Polly_conchita,F,CAST
iwaqiwf7086hwu3jlrcvh,20,M,AR,Buenos Aires,3,,C/C7/conchita2_73.wav,2.0,C7,Polly_conchita,F,CAST
iwaqiwf7086hwu3jlrcvh,20,M,AR,Buenos Aires,3,,C/C7/conchita_27.wav,1.0,C7,Polly_conchita,F,CAST
cygru7b0m97zh2lg5og05,26,M,AR,Buenos Aires,3,Logitech G433,C/C7/conchita2_97.wav,1.0,C7,Polly_conchita,F,CAST
73syy4aj18k6olr11ypxl,27,M,AR,Buenos Aires,4,audio technica athm50x,C/C7/conchita_33.wav,4.0,C7,Polly_conchita,F,CAST
73syy4aj18k6olr11ypxl,27,M,AR,Buenos Aires,4,audio technica athm50x,C/C7/conchita2_74.wav,1.0,C7,Polly_conchita,F,CAST
91107h7ny06qnvf2wsv1p,27,M,AR,Ciudad Aut�noma de Buenos Aires,2,sennheiser hd 280 pro,C/C7/conchita2_71.wav,1.0,C7,Polly_conchita,F,CAST
91107h7ny06qnvf2wsv1p,27,M,AR,Ciudad Aut�noma de Buenos Aires,2,sennheiser hd 280 pro,C/C7/conchita2_55.wav,1.0,C7,Polly_conchita,F,CAST
27o0tqrm38o6wjtgaiqzy7,29,M,AR,Ciudad Aut�noma de Buenos Aires,2,Sennheiser HD206,C/C7/conchita_21.wav,2.0,C7,Polly_conchita,F,CAST
eflnh6b2i1rrh5nbeihqq,26,M,AR,Buenos Aires,5,Parlante de la compu,C/C7/conchita_45.wav,2.0,C7,Polly_conchita,F,CAST
puzr5n1dz0hnteu0g8wdrr,26,M,AR,Ciudad Aut�noma de Buenos Aires,2,Sennheiser 202,C/C7/conchita2_52.wav,2.0,C7,Polly_conchita,F,CAST
ysobwzccpice783avao5c,30,M,AR,Chubut,4,Audio-Technica M50X,C/C7/conchita2_59.wav,1.0,C7,Polly_conchita,F,CAST
ysobwzccpice783avao5c,30,M,AR,Chubut,4,Audio-Technica M50X,C/C7/conchita_22.wav,2.0,C7,Polly_conchita,F,CAST
e2q2qom6xvfgo3wyh5kqy9,30,M,AR,Ciudad Aut�noma de Buenos Aires,1,Motorola Pulse Max,C/C7/conchita2_64.wav,1.0,C7,Polly_conchita,F,CAST
vks4a5zeivbfimepmxbxq,25,M,AR,Buenos Aires,5,Logitech 433,C/C7/conchita2_54.wav,1.0,C7,Polly_conchita,F,CAST
8hawot9erl511ryvmug1d,28,M,AR,Buenos Aires,2,JABRA EVOLVE 20 MS,C/C7/conchita2_87.wav,1.0,C7,Polly_conchita,F,CAST
8hawot9erl511ryvmug1d,28,M,AR,Buenos Aires,2,JABRA EVOLVE 20 MS,C/C7/conchita_25.wav,1.0,C7,Polly_conchita,F,CAST
x37bofyh0fazkr02jlztlm,25,M,AR,Ciudad Aut�noma de Buenos Aires,3,Sennheiser HD 202,C/C7/conchita2.wav,2.0,C7,Polly_conchita,F,CAST
0ym8eutpogxka159e5ipr,25,F,AR,Ciudad Aut�noma de Buenos Aires,2,Sony ZX Series,C/C7/conchita2_62.wav,2.0,C7,Polly_conchita,F,CAST
2xzqu3dshjhelyob7pu07b,31,M,AR,Ciudad Aut�noma de Buenos Aires,2,Beats Flex,C/C7/conchita_49.wav,2.0,C7,Polly_conchita,F,CAST
3u64elxh3bm4hoeutjzcgg,26,M,AR,Jujuy,5,Audio-Technica ATH-ANC700BT,C/C7/conchita_18.wav,1.0,C7,Polly_conchita,F,CAST
3u64elxh3bm4hoeutjzcgg,26,M,AR,Jujuy,5,Audio-Technica ATH-ANC700BT,C/C7/conchita_38.wav,1.0,C7,Polly_conchita,F,CAST
r5oyw6bphipfrusmxjmul8,30,M,AR,Buenos Aires,4,Redragon H510,C/C7/conchita_9.wav,1.0,C7,Polly_conchita,F,CAST
2usvcjv42qa2ai740w1pyp,26,M,AR,Ciudad Aut�noma de Buenos Aires,4,Ath-M30x,C/C7/conchita2_57.wav,1.0,C7,Polly_conchita,F,CAST
cirn7eog41vg0o0yloylkb,38,M,AR,Ciudad Aut�noma de Buenos Aires,3,behringer,C/C7/conchita2.mp3,2.0,C7,Polly_conchita,F,CAST
cirn7eog41vg0o0yloylkb,38,M,AR,Ciudad Aut�noma de Buenos Aires,3,behringer,C/C7/conchita2_66.wav,4.0,C7,Polly_conchita,F,CAST
kufwhzb3v0da7ognamj9lj,29,F,AR,Ciudad Aut�noma de Buenos Aires,3,Airpods Pro 3era generaci�n,C/C7/conchita2_70.wav,2.0,C7,Polly_conchita,F,CAST
oql5r4xh8ui7xy6ynw3hsk,37,F,AR,Ciudad Aut�noma de Buenos Aires,1,,C/C7/conchita2_94.wav,1.0,C7,Polly_conchita,F,CAST
27v7gfob3bcutmzb232i,27,X,AR,Buenos Aires,4,Samsung IA500,C/C7/conchita2_75.wav,4.0,C7,Polly_conchita,F,CAST
9p8073vpokhypph8y2w3np,51,M,AR,Buenos Aires,3,,C/C7/conchita2_60.wav,2.0,C7,Polly_conchita,F,CAST
9p8073vpokhypph8y2w3np,51,M,AR,Buenos Aires,3,,C/C7/conchita2_91.wav,2.0,C7,Polly_conchita,F,CAST
j73hro55i35ce9umk98gt,26,M,AR,Ciudad Aut�noma de Buenos Aires,2,,C/C7/conchita_3.wav,2.0,C7,Polly_conchita,F,CAST
odmcx0pookmv7hm1i807n,27,F,AR,Buenos Aires,1,,C/C7/conchita_2.wav,3.0,C7,Polly_conchita,F,CAST
3szg6xzqeq7ohj6myf0j,36,M,AR,Buenos Aires,2,,C/C7/conchita_42.wav,3.0,C7,Polly_conchita,F,CAST
syisq60f84n1v8n1z217m,31,F,AR,Ciudad Autónoma de Buenos Aires,2,,C/C7/conchita2_79.wav,2.0,C7,Polly_conchita,F,CAST
23941hs1otfeqo20p4kqo,24,F,AR,Chaco,1,,C/C7/conchita2_78.wav,3.0,C7,Polly_conchita,F,CAST
23941hs1otfeqo20p4kqo,24,F,AR,Chaco,1,,C/C7/conchita2_93.wav,3.0,C7,Polly_conchita,F,CAST
ae53qumvh1aukx0p1oqrs,34,M,AR,Ciudad Autónoma de Buenos Aires,5,,C/C7/conchita_34.wav,3.0,C7,Polly_conchita,F,CAST
ae53qumvh1aukx0p1oqrs,34,M,AR,Ciudad Autónoma de Buenos Aires,5,,C/C7/conchita2_53.wav,1.0,C7,Polly_conchita,F,CAST
bylf76d7dao0y9d8x8mms6r,30,M,AR,Buenos Aires,1,,C/C7/conchita2_85.wav,2.0,C7,Polly_conchita,F,CAST
bylf76d7dao0y9d8x8mms6r,30,M,AR,Buenos Aires,1,,C/C7/conchita_1.wav,3.0,C7,Polly_conchita,F,CAST
ob703ludngf18wbc1t5jj6,52,M,AR,Río Negro,4,,C/C7/conchita2_76.wav,2.0,C7,Polly_conchita,F,CAST
ob703ludngf18wbc1t5jj6,52,M,AR,Río Negro,4,,C/C7/conchita2_63.wav,3.0,C7,Polly_conchita,F,CAST
96fjbiko6thg310yuacq2d,28,M,AR,Neuquén,4,,C/C7/conchita_6.wav,2.0,C7,Polly_conchita,F,CAST
