participant_id,A1,A10,A2,A3,A4,A5,A6
t0gpbakhue89ui683yiltc,2,,2.5,1,,1,
t6ybrbbo92bx87dy9vpy,3,,3,1,,1,1
ttuv6lq5ifqyc6jpwgk94,1,,,1,2,1,2
vj735xlt2yj805wyn5rimq,2,1,,2,3,,3
vks4a5zeivbfimepmxbxq,,,,1.66666666666667,,,
wqc6g1y755ulfhnkoksei,2,,3,2,2,,4
x37bofyh0fazkr02jlztlm,,,3,3.66666666666667,1,1,3
ymxfxn696we9rp1tnnub3f,1,,,1.33333333333333,,1.66666666666667,3
ysobwzccpice783avao5c,2,,3,2,,3,3
yteg94bzq131bqsl7uyqo,2,,,3,1,1,2
ztwx6tnel7ogegc0h9hjqr,3,2,3,,1,1.25,
