target,output,stimuli,condition
1,2.3176804,A3/audio184.wav,A3
4,5,E5/arm_00610_00944096074.wav,E5
3,1.7955441,D10/lalita_0.wav,D1
2,2.6652808,E7/es-AR-TomasNeural44.wav,E7
3,2.5840752,A1/54.wav,A1
5,2.1600037,A3/audio40.wav,A3
1,1.9634676,A1/77.wav,A1
1,1.2912903,B9/VTLP_es-ES-ElviraNeural48.wav.wav,B9
3,2.7426329,B7/audio181.wav,B7
2,2.797874,E7/es-AR-TomasNeural87.wav,E7
1,2.7351341,C8/enrique_32.wav,C8
4,2.148087,E7/es-AR-TomasNeural4.wav,E7
1,2.317326,B8/VTLP_es-BO-MarceloNeural63.wav.wav,B8
3,3.1091423,D3/leticia_65.wav,D3
4,2.9244268,E7/es-AR-TomasNeural74.wav,E7
1,3.1961443,B5/2.wav,B5
3,2.1245646,B10/VTLP_es-AR-ElenaNeural43.wav.wav,B1
2,3.0063093,C8/enrique2_79.wav,C8
2,1.7943473,C7/conchita2_50.wav,C7
3,2.976519,B2/audio107.wav,B2
2,2.4065251,C1/penelope_35.wav,C1
2,2.6785312,D3/Leticia9-06.wav,D3
4,3.461479,B2/audio96.wav,B2
1,2.3549285,C4/fiore_59.wav,C4
3,2.725594,B2/audio167.wav,B2
2,2.705854,B3/enrique2_69.wav_GL.wav,B3
2,2.6979656,C10/mia2_99.wav,C1
3,1.5468543,A4/sabrina_loquendo_8.wav,A4
2,2.2155764,A6/145.wav,A6
1,1.5119106,E8/es-BO-SofiaNeural39.wav,E8
4,2.948552,C8/enrique2_93.wav,C8
1,1,B9/VTLP_es-ES-ElviraNeural61.wav.wav,B9
5,4.6561666,E4/arm_08784_00518727153.wav,E4
2,1.9151248,C9/lupe_28.wav,C9
3,2.809369,D3/leticia_74.wav,D3
2,2.4824176,C3/pedro_30.wav,C3
1,3.087382,D5/es-BO-MarceloNeural69.wav,D5
1,3.193467,B1/audio188.wav,B1
1,2.2143261,C4/fiore_25.wav,C4
2,1.846261,A7/132.wav,A7
3,2.727404,D5/es-BO-MarceloNeural74.wav,D5
2,2.7416544,B1/audio71.wav,B1
1,2.6117492,A2/93.wav,A2
4,2.7120833,B7/audio180.wav,B7
1,1.8147361,B8/VTLP_es-BO-MarceloNeural56.wav.wav,B8
2,1.6251862,C7/conchita2_95.wav,C7
5,4.508352,E5/arm_00610_01573868409.wav,E5
2,2.7848663,C3/pedro_34.wav,C3
1,3.2524943,B3/enrique2_99.wav_GL.wav,B3
5,5,E3/audio_106.wav,E3
2,1.66048,D9/priscilla_27.wav,D9
2,1.469552,A1/17.wav,A1
2,2.6660376,B1/audio151.wav,B1
3,2.731744,B7/audio102.wav,B7
4,2.9873915,B1/audio187.wav,B1
3,2.1108406,A3/audio110.wav,A3
3,1,A4/sabrina_loquendo_92.wav,A4
1,1.9605482,C4/fiore_67.wav,C4
3,2.6804652,B7/audio46.wav,B7
3,3.143811,C5/albano_62.wav,C5
2,1.6989057,A3/audio4.wav,A3
1,2.0872679,A1/51.wav,A1
2,2.8663778,D4/Olimpia9-12.wav,D4
5,4.853156,E5/arm_00610_00516240473.wav,E5
3,1.8889043,A6/187.wav,A6
3,2.3999333,B1/audio3.wav,B1
3,3.0623975,B1/audio125.wav,B1
3,3.0691092,E6/es-AR-ElenaNeural32.wav,E6
2,1.3711133,D2/m1col_8.wav,D2
1,1.7618575,A3/audio166.wav,A3
2,1.9833972,A6/168.wav,A6
2,1.7580798,B8/VTLP_es-BO-MarceloNeural75.wav.wav,B8
2,2.7582645,B5/6.wav,B5
5,4.443508,E5/arm_00610_01280596409.wav,E5
4,2.3909578,E7/es-AR-TomasNeural23.wav,E7
2,2.3155107,B7/audio61.wav,B7
2,2.8456092,C2/fiona_49.wav,C2
2,1.837039,E10/es-MX-JorgeNeural88.wav,E1
2,2.429874,C9/lupe2_87.wav,C9
4,1.3013144,A2/111.wav,A2
3,2.6583226,B7/audio3.wav,B7
1,1.331831,A1/70.wav,A1
1,1.5095742,E8/es-BO-SofiaNeural20.wav,E8
1,2.8896594,B3/enrique_47.wav_GL.wav,B3
2,2.8087325,D5/es-BO-MarceloNeural98.wav,D5
3,2.972046,D3/leticia_19.wav,D3
1,1,A4/sabrina_loquendo_67.wav,A4
1,2.577982,C3/pedro2_56.wav,C3
1,3.414976,C1/penelope_45.wav,C1
1,1.1794183,A3/audio143.wav,A3
3,1.1687624,D10/lalita_20.wav,D1
3,2.6394498,B7/audio195.wav,B7
2,1.6040615,D10/lalita_33.wav,D1
2,1.0286988,A4/sabrina_loquendo_16.wav,A4
3,2.1446013,E10/es-MX-JorgeNeural35.wav,E1
5,5,E3/audio_194.wav,E3
5,4.5594807,E1/arf_00295_00415501498.wav,E1
2,2.0077057,B1/audio52.wav,B1
1,1.1499377,C6/olimpia_23.wav,C6
4,2.0767484,E7/es-AR-TomasNeural39.wav,E7
3,2.9834566,C5/albano_32.wav,C5
1,1.4930136,A1/89.wav,A1
2,1.9266729,B3/enrique2_60.wav_GL.wav,B3
5,4.490288,E2/arf_00610_00913913795.wav,E2
3,3.2216735,D7/es-ES-ElviraNeural95.wav,D7
2,1.9716401,D3/leticia_0.wav,D3
5,5,E1/arf_00295_02147306302.wav,E1
2,1.2098469,B9/VTLP_es-ES-ElviraNeural38.wav.wav,B9
4,2.154103,A6/159.wav,A6
1,1,A4/sabrina_loquendo_54.wav,A4
1,2.1446323,B10/VTLP_es-AR-ElenaNeural39.wav.wav,B1
2,2.5971618,B7/audio23.wav,B7
5,3.5500941,E3/audio_209.wav,E3
3,2.2955287,B7/audio56.wav,B7
1,1.0298487,D10/lalita_78.wav,D1
3,2.3865218,A6/154.wav,A6
3,1.7640529,A3/audio19.wav,A3
3,2.244626,B1/audio0.wav,B1
2,1.9477061,D7/es-ES-ElviraNeural46.wav,D7
3,2.4948707,B7/audio97.wav,B7
1,1.8241677,E8/es-BO-SofiaNeural99.wav,E8
5,4.1483974,E1/arf_00295_01131884458.wav,E1
2,2.5316222,C2/fiona2_58.wav,C2
1,1.6468129,C4/fiore_0.wav,C4
5,2.0697534,B7/audio186.wav,B7
5,4.347346,E4/arm_08784_01376458410.wav,E4
3,2.3305235,B2/audio179.wav,B2
1,2.191258,B6/miguel-34.wav,B6
5,4.39433,E5/arm_00610_01543219847.wav,E5
4,4.205265,E3/audio_190.wav,E3
4,1.4786816,A3/audio129.wav,A3
1,2.634064,B1/audio105.wav,B1
2,1.8458794,C4/fiore_15.wav,C4
2,2.2507129,A3/audio27.wav,A3
2,1.1778529,D9/priscilla_26.wav,D9
2,2.442199,D5/es-BO-MarceloNeural62.wav,D5
1,5,E1/arf_00295_01449532457.wav,E1
3,2.1192846,E6/es-AR-ElenaNeural73.wav,E6
2,2.117113,D4/olimpiaAI_43.wav,D4
1,4.5936804,E3/audio_276.wav,E3
4,2.8251352,B2/audio138.wav,B2
3,2.240044,E7/es-AR-TomasNeural14.wav,E7
1,1.8786696,A7/178.wav,A7
1,1.0750009,A3/audio101.wav,A3
4,4.4294424,E3/audio_29.wav,E3
2,2.0097165,C7/conchita2_63.wav,C7
2,1.8854483,A3/audio169.wav,A3
1,1,A4/sabrina_loquendo_36.wav,A4
3,2.5828605,B7/audio171.wav,B7
4,2.5694606,B7/audio45.wav,B7
2,2.424358,D3/leticia_83.wav,D3
2,2.3701282,D7/es-ES-ElviraNeural12.wav,D7
2,3.303179,D4/olimpiaAI_45.wav,D4
5,4.587816,E9/arm_09697_01183943374.wav,E9
2,2.5690038,D7/es-ES-ElviraNeural30.wav,D7
2,1.367968,C6/olimpia_84.wav,C6
3,2.0897539,D7/es-ES-ElviraNeural21.wav,D7
1,1.8313751,A3/audio65.wav,A3
5,4.9948444,E9/arm_09697_00687461739.wav,E9
5,4.4604316,D8/arm_08784_01527482428.wav_GL.wav,D8
3,2.0655236,E7/es-AR-TomasNeural61.wav,E7
1,1.8437248,A3/audio38.wav,A3
3,2.3333302,B7/audio87.wav,B7
3,2.276483,D2/m1ven_9.wav,D2
3,2.255013,E6/es-AR-ElenaNeural85.wav,E6
3,1.8562474,C2/fiona2_71.wav,C2
4,2.6457005,B7/audio5.wav,B7
2,2.1199715,A1/90.wav,A1
2,2.020555,C10/mia2_87.wav,C1
1,1.7992084,B1/audio5.wav,B1
2,2.761619,B6/miguel-49.wav,B6
1,2.165607,C1/penelope_39.wav,C1
2,2.0010529,A5/tts_dev_thomas_69.wav,A5
3,2.9014192,B3/enrique_21.wav_GL.wav,B3
5,4.726385,E4/arm_08784_01117707573.wav,E4
1,2.5271008,C8/enrique_47.wav,C8
4,2.319283,B1/audio91.wav,B1
3,5,D8/arm_08784_01291556491.wav_GL.wav,D8
2,2.5920475,B2/audio174.wav,B2
1,2.766508,B4/10.wav,B4
1,2.190864,C10/mia2_85.wav,C1
5,4.4127827,E2/arf_00610_00682913941.wav,E2
4,1,A1/43.wav,A1
4,3.418275,C8/enrique_1.wav,C8
4,2.5838394,C9/lupe2_79.wav,C9
2,2.3624494,C1/penelope2_75.wav,C1
1,1.6511165,D7/es-ES-ElviraNeural18.wav,D7
3,1.5158691,C1/penelope2_74.wav,C1
3,2.2027812,B1/audio4.wav,B1
3,2.1768699,D4/olimpiaAI_78.wav,D4
1,2.1124368,A5/tts_dev_thomas_6.wav,A5
3,1.72947,A1/29.wav,A1
1,1,A3/audio111.wav,A3
2,1.2348136,D10/lalita_39.wav,D1
2,1.6808524,D9/priscilla_0.wav,D9
1,2.1559534,D6/es-ES-AlvaroNeural6.wav,D6
2,2.7093968,B1/audio32.wav,B1
5,4.2526455,E5/arm_00610_01738209033.wav,E5
2,1.9124626,D2/m1col_1.wav,D2
3,2.5577345,C3/pedro_28.wav,C3
4,1.7742803,E8/es-BO-SofiaNeural36.wav,E8
1,2.5256681,B10/VTLP_es-AR-TomasNeural25.wav.wav,B1
4,5,E3/audio_143.wav,E3
2,2.416019,C1/penelope2_96.wav,C1
3,2.988751,C9/lupe_45.wav,C9
1,1.4680132,A3/audio173.wav,A3
3,1.2594439,A3/audio49.wav,A3
5,4.770441,E4/arm_08784_02024472792.wav,E4
1,1.4115973,A5/tts_dev_thomas_0.wav,A5
3,2.1931553,C1/penelope2_94.wav,C1
2,1.9835714,D2/m1ven_8.wav,D2
4,2.635252,B1/audio138.wav,B1
2,2.1274436,B5/9.wav,B5
3,1.9529245,D9/priscilla_2.wav,D9
3,2.0486798,C2/fiona_47.wav,C2
1,1.435248,B8/VTLP_es-BO-MarceloNeural39.wav.wav,B8
2,1.4692467,B8/VTLP_es-BO-MarceloNeural98.wav.wav,B8
3,2.2561917,D7/es-ES-ElviraNeural14.wav,D7
2,2.785338,C5/albano_61.wav,C5
5,4.5778084,D8/arm_08784_00300323937.wav_GL.wav,D8
4,1.5257633,E8/es-BO-SofiaNeural28.wav,E8
2,3.505461,C5/albano_38.wav,C5
5,4.9512415,E5/arm_00610_01098086949.wav,E5
1,2.3872974,C5/albano_35.wav,C5
5,4.8480215,E2/arf_00610_01178164963.wav,E2
2,2.6333919,C10/mia_4.wav,C1
3,3.2430007,C3/pedro_26.wav,C3
4,1.2986091,A2/7.wav,A2
1,2.772625,B1/audio196.wav,B1
2,1.028387,A4/sabrina_loquendo_45.wav,A4
3,2.3554788,D1/f1col_1.wav,D1
1,1,A5/tts_dev_thomas_44.wav,A5
2,2.2065802,C9/lupe_27.wav,C9
3,2.8966186,B7/audio178.wav,B7
2,2.201502,B2/audio131.wav,B2
1,1.6258054,A1/47.wav,A1
5,1.9371905,D6/es-ES-AlvaroNeural73.wav,D6
2,2.929843,B7/audio165.wav,B7
4,2.284923,D1/f1col_5.wav,D1
3,2.968114,B7/audio177.wav,B7
5,5,E9/arm_09697_00167767460.wav,E9
2,2.452495,C10/mia2_66.wav,C1
3,2.114138,C2/fiona_48.wav,C2
3,2.741232,B2/audio95.wav,B2
2,1.2687535,A5/tts_dev_thomas_27.wav,A5
3,3.8075156,E3/audio_83.wav,E3
4,2.064876,E6/es-AR-ElenaNeural38.wav,E6
2,2.4967775,C5/albano_70.wav,C5
3,2.0220368,D3/leticia_52.wav,D3
5,4.8842463,D8/arm_08784_01845380649.wav_GL.wav,D8
2,2.8462315,C5/albano_19.wav,C5
1,2.1090207,B8/VTLP_es-BO-MarceloNeural76.wav.wav,B8
2,2.5889616,C8/enrique_29.wav,C8
1,2.5915365,C3/pedro2_50.wav,C3
4,2.3920677,E7/es-AR-TomasNeural15.wav,E7
2,1.7489994,D9/priscilla_54.wav,D9
2,1.8558211,A1/65.wav,A1
4,4.578112,D8/arm_08784_00858307843.wav_GL.wav,D8
2,1.5501244,A5/tts_dev_thomas_83.wav,A5
2,2.704188,B2/audio114.wav,B2
4,4.950025,D8/arm_08784_00664914045.wav_GL.wav,D8
5,4.540448,E2/arf_00610_00802119191.wav,E2
1,2.2006667,B1/audio19.wav,B1
3,2.9331994,A6/129.wav,A6
2,1.8233211,A10/8.wav,A1
2,1.8983524,A6/152.wav,A6
3,1.2999468,D10/lalita_31.wav,D1
1,1.0061338,A4/sabrina_loquendo_7.wav,A4
3,2.4724033,B2/audio109.wav,B2
2,1.5800834,A3/audio155.wav,A3
2,2.7858179,D6/es-ES-AlvaroNeural5.wav,D6
4,2.968141,E10/es-MX-JorgeNeural89.wav,E1
2,1.6276261,A5/tts_dev_thomas_59.wav,A5
5,4.7644415,D8/arm_08784_00827522170.wav_GL.wav,D8
2,1.5490247,E6/es-AR-ElenaNeural66.wav,E6
3,2.5666842,B2/audio33.wav,B2
3,2.534411,A8/9.wav,A8
3,2.2448206,C4/fiore_63.wav,C4
2,3.133334,D3/leticia_64.wav,D3
1,1,A2/10.wav,A2
4,5,D8/arm_08784_01680146322.wav_GL.wav,D8
3,2.3871727,C3/pedro2_75.wav,C3
2,2.2285464,D4/olimpiaAI_23.wav,D4
1,1.7152729,A5/tts_dev_thomas_14.wav,A5
4,2.5717692,B1/audio53.wav,B1
1,1.5343306,A10/4.wav,A1
2,2.9812033,D5/es-BO-MarceloNeural37.wav,D5
4,2.8492274,E6/es-AR-ElenaNeural78.wav,E6
2,2.3623862,B7/audio184.wav,B7
5,5,D8/arm_08784_00603676786.wav_GL.wav,D8
3,2.6872225,B7/audio187.wav,B7
1,1,A2/31.wav,A2
4,4.6597495,E3/audio_289.wav,E3
3,2.5193357,C5/albano_4.wav,C5
3,2.3696575,C5/albano_55.wav,C5
3,2.6518369,B7/audio66.wav,B7
